昵称,地区,日期,评论
殇,四川,2024-12-04 23:06:56,必须祝贺，优秀传统文化必须得到传承！！
草原之鹰,陕西,2024-12-04 23:08:09,好消息，中国文化博大精深，走向世界！
沉默,陕西,2024-12-04 23:08:42,冲出亚洲，走向世界，祖国加油[玫瑰][玫瑰][玫瑰]
芝藕粥,河南,2024-12-04 23:08:54,祝贺祖国越来越强大，传统节日越来越深入人心[鼓掌][鼓掌][鼓掌]
狼行天下,广西,2024-12-04 23:08:02,恭喜贺喜！预祝大家新年快乐！万事如意！身体健康！阖家幸福！心想事成！[发][发][发][发]
Do vis l,山东,2024-12-04 23:09:21,祝愿祖国越来越好！！！为祖国点赞[赞][赞][赞]
涛,山西,2024-12-04 23:07:18,文化强，中国强
阿窝鹅鹅鹅,湖北,2024-12-04 23:09:19,[比心][比心][比心]我爱祖国
咻的一下来了,江苏,2024-12-04 23:06:48,祝国家越来越强大 [大笑][大笑][大笑]
亿杭梦飞,浙江,2024-12-05 21:05:48,弱弱的问一句：韩国也有春节吗[抠鼻][尬笑]
李瑜,山东,2024-12-05 07:21:52,本来就是，申遗成功有这么重要吗？
王二顺,河南,2024-12-05 04:01:30,韩国人怎么想？
斑马不睡觉,海南,2024-12-04 23:07:20,啥时候春节可以放鞭炮回来啊[流泪][流泪][流泪][流泪][流泪][流泪]
媛媛百货,陕西,2024-12-04 23:37:09,没有鞭炮的春节，不能成为完整的春节
上海药皂官方旗舰店直播号,安徽,2024-12-05 08:07:52,申遗成功这么开心，春节不多放两天假吗？[泣不成声][泣不成声]
等我改一下手,广东,2024-12-04 23:08:58,隔壁现在应该没空狗叫了
nobody,四川,2024-12-04 23:08:37,"[看][看][看]以后叫chunjie,不叫Spring Festival"
宇通客车,河南,2024-12-06 11:46:29,祝贺春节申遗成功[撒花][撒花]
刘浩——彬县人在西安!,陕西,2024-12-04 23:06:00,冒昧的问一下，以后过年能放鞭炮吗？[捂脸][捂脸][捂脸]
超哥,天津,2024-12-04 23:09:17,可以放炮吗
J、ump,北京,2024-12-04 23:09:13,可以放鞭炮不[烟花][烟花][烟花]
豫见交通,未知,2024-12-05 13:01:38,春节申遗成功[赞]
柳啸洪,广东,2024-12-05 00:48:30,[鞭炮][鞭炮][鞭炮]放鞭炮庆祝一下[呲牙]
流行经典粤语,广东,2024-12-05 00:17:38,韩国：天塌了……
白玉官方旗舰店,上海,2024-12-05 00:29:38,玉儿热烈祝贺春节申遗成功[玫瑰]永远为祖国骄傲
粤观city集合,湖北,2024-12-04 23:06:11,祝贺祖国![鼓掌]
老爸评测,浙江,2024-12-05 10:11:40,提前祝大家新年快乐！
